Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,1.0,1080000.0000000002,0.07585923373699188,115.0,3510.0,Supplier-A,33.1,3301.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,1.0,1080000.0000000002,0.07585923373699188,115.0,3510.0,Supplier-C,5146.0,5304.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.9,971999.8352050784,0.09365338832139969,6358.171875,22239.515625,Supplier-A,595.0,5365.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.9,971999.8352050784,0.09365338832139969,6358.171875,22239.515625,Supplier-C,10764.9,36210.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.8,864000.0823974612,0.11853005737066269,12601.34375,40969.03125,Supplier-A,1156.9,7423.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.8,864000.0823974612,0.11853005737066269,12601.34375,40969.03125,Supplier-C,16383.8,67116.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.7,755999.9176025393,0.15481477975845337,18844.515625,59698.546875,Supplier-A,1718.8,9487.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.7,755999.9176025393,0.15481477975845337,18844.515625,59698.546875,Supplier-C,22002.6,98016.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.6,648000.0411987306,0.21072009205818176,25087.6875,78428.0625,Supplier-A,2280.7,11545.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.6,648000.0411987306,0.21072009205818176,25087.6875,78428.0625,Supplier-C,27621.5,128922.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.5,540000.0000000001,0.30343693494796753,31330.857421875,97157.5703125,Supplier-A,2842.6,13603.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.5,540000.0000000001,0.30343693494796753,31330.857421875,97157.5703125,Supplier-C,33240.3,159828.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.4,432000.0411987306,0.47412022948265076,37574.03125,115887.09375,Supplier-A,3404.5,15667.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.4,432000.0411987306,0.47412022948265076,37574.03125,115887.09375,Supplier-C,38859.2,190728.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.3,324000.0205993653,0.842880368232727,43817.19921875,134616.59375,Supplier-A,3966.3,17725.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.3,324000.0205993653,0.842880368232727,43817.19921875,134616.59375,Supplier-C,44478.0,221634.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.2,216000.0205993653,1.896480917930603,50060.375,153346.125,Supplier-A,4528.2,19783.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.2,216000.0205993653,1.896480917930603,50060.375,153346.125,Supplier-C,50096.9,252534.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.1,108000.01029968265,7.58592414855957,56303.546875,172075.640625,Supplier-A,5090.1,21847.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.1,108000.01029968265,7.58592414855957,56303.546875,172075.640625,Supplier-C,55715.7,283440.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.05,54000.00514984132,30.34369659423828,59425.1328125,181440.40625,Supplier-A,5371.1,22879.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.05,54000.00514984132,30.34369659423828,59425.1328125,181440.40625,Supplier-C,58525.2,298890.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.01,10800.000000000002,758.5924072265625,61922.40234375,188932.203125,Supplier-A,5595.8,23701.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.01,10800.000000000002,758.5924072265625,61922.40234375,188932.203125,Supplier-C,60772.7,311256.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.005,5400.000000000001,3034.369873046875,62234.5625,189868.6875,Supplier-A,5623.9,23803.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.005,5400.000000000001,3034.369873046875,62234.5625,189868.6875,Supplier-C,61053.7,312798.0
