Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,1.0,1080000.0000000002,2.963019609451294,115.0,3510.0,Supplier-A,106.0,294
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.9,971999.8352050784,3.659519672393799,6358.171875,22239.515625,Supplier-A,5724.9,20898
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.8,864000.0823974612,4.632101058959961,12601.34375,40969.03125,Supplier-A,11343.8,41502
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.7,755999.9176025393,6.04307746887207,18844.515625,59698.546875,Supplier-A,16962.6,62106
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.6,648000.0411987306,8.231192588806152,25087.6875,78428.0625,Supplier-A,22581.5,82704
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.5,540000.0000000001,11.852049827575684,31330.857421875,97157.5703125,Supplier-A,28200.3,103308
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.4,432000.0411987306,18.528331756591797,37574.03125,115887.09375,Supplier-A,33819.2,123912
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.3,324000.0205993653,32.92466354370117,43817.19921875,134616.59375,Supplier-A,39438.0,144516
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.2,216000.0205993653,74.11358642578125,50060.375,153346.125,Supplier-A,45056.9,165114
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.1,108000.01029968265,296.4542236328125,56303.546875,172075.640625,Supplier-A,50675.7,185718
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.05,54000.00514984132,1185.818115234375,59425.1328125,181440.40625,Supplier-A,53485.2,196020
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.01,10800.000000000002,29640.9296875,61922.40234375,188932.203125,Supplier-A,55732.7,204264
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.005,5400.000000000001,118563.5703125,62234.5625,189868.6875,Supplier-A,56013.7,205290
