Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
EDM ['y'],Al6061,1.0,1080000.0000000002,2.9630191326141357,55.0,3330.000000000001,Supplier-A,55.0,90
EDM ['y'],Al6061,0.9,971999.8352050784,3.65948748588562,3775.0080166172756,18210.032066469103,Supplier-A,3775.02,14971
EDM ['y'],Al6061,0.8,864000.0823974612,4.632094860076904,7495.016033234551,33090.064132938205,Supplier-A,7495.02,29851
EDM ['y'],Al6061,0.7,755999.9176025393,6.0430779457092285,11215.02404985183,47970.09619940732,Supplier-A,11215.03,44731
EDM ['y'],Al6061,0.6,648000.0411987306,8.231139183044434,14935.032066469108,62850.12826587643,Supplier-A,14935.03,59611
EDM ['y'],Al6061,0.5,540000.0000000001,11.852068901062012,18655.040083086384,77730.16033234553,Supplier-A,18655.05,74491
EDM ['y'],Al6061,0.4,432000.0411987306,18.528329849243164,22375.048099703657,92610.19239881463,Supplier-A,22375.05,89371
EDM ['y'],Al6061,0.3,324000.0205993653,32.92471694946289,26095.05611632093,107490.22446528373,Supplier-A,26095.07,104251
EDM ['y'],Al6061,0.2,216000.0205993653,74.11347961425781,29815.064132938216,122370.25653175286,Supplier-A,29815.07,119131
EDM ['y'],Al6061,0.1,108000.01029968265,296.4537353515625,33535.07214955549,137250.28859822196,Supplier-A,33535.08,134011
EDM ['y'],Al6061,0.05,54000.00514984132,1185.8160400390625,35395.076157864125,144690.3046314565,Supplier-A,35395.08,141451
EDM ['y'],Al6061,0.01,10800.000000000002,29641.0,36883.07936451104,150642.31745804416,Supplier-A,36883.08,147403
EDM ['y'],Al6061,0.005,5400.000000000001,118563.6875,37069.0797653419,151386.3190613676,Supplier-A,37069.08,148147
