Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,1.0,424000.00000000006,86.10897064208984,115.0,1118.0,Supplier-A,84.8,239
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,0.9,381599.9353027345,106.19681549072266,6669.154296875,20780.462890625,Supplier-A,4803.8,17543
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,0.8,339200.03234863287,134.5638427734375,13223.30859375,40442.92578125,Supplier-A,9522.8,34847
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,0.7,296799.96765136725,175.63893127441406,19777.4609375,60105.3828125,Supplier-A,14241.8,52151
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,0.6,254400.01617431644,239.04495239257812,26331.6171875,79767.8515625,Supplier-A,18960.8,69455
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,0.5,212000.00000000003,344.4366455078125,32885.76953125,99430.3125,Supplier-A,23679.8,86759
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,0.4,169600.01617431644,538.2526245117188,39439.921875,119092.765625,Supplier-A,28398.8,104057
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,0.3,127200.00808715822,956.178955078125,45994.07421875,138755.21875,Supplier-A,33117.8,121361
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,0.2,84800.00808715822,2153.016357421875,52548.234375,158417.703125,Supplier-A,37836.8,138665
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,0.1,42400.00404357911,8612.08203125,59102.38671875,178080.15625,Supplier-A,42555.8,155969
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSplastic,0.05,21200.002021789554,34448.3203125,62379.46484375,187911.390625,Supplier-A,44915.3,164621
