Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,1.0,1772000.0000000005,0.044635653495788574,115.0,177470.0,Supplier-A,5154.1,177525.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,1.0,1772000.0000000005,0.044635653495788574,115.0,177470.0,Supplier-C,5146.0,266244.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.9,1594799.7296142583,0.055105749517679214,61370.75,361237.25,Supplier-A,61198.63,383020.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.9,1594799.7296142583,0.055105749517679214,61370.75,361237.25,Supplier-C,60276.2,569460.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.8,1417600.1351928716,0.06974320858716965,122626.5,545004.5,Supplier-A,117247.67,588535.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.8,1417600.1351928716,0.06974320858716965,122626.5,545004.5,Supplier-C,115406.4,872676.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.7,1240399.8648071291,0.09109318256378174,183882.25,728771.75,Supplier-A,173296.7,794044.94
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.7,1240399.8648071291,0.09109318256378174,183882.25,728771.75,Supplier-C,170536.6,1175892.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.6,1063200.0675964358,0.12398792058229446,245138.0,912539.0,Supplier-A,229345.65,999559.06
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.6,1063200.0675964358,0.12398792058229446,245138.0,912539.0,Supplier-C,225666.7,1479108.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.5,886000.0000000002,0.1785426288843155,306393.71875,1096306.125,Supplier-A,285394.68,1205074.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.5,886000.0000000002,0.1785426288843155,306393.71875,1096306.125,Supplier-C,280796.9,1782324.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.4,708800.0675964358,0.2789728343486786,367649.5,1280073.5,Supplier-A,341443.72,1410584.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.4,708800.0675964358,0.2789728343486786,367649.5,1280073.5,Supplier-C,335927.1,2085540.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.3,531600.0337982179,0.49595165252685547,428905.21875,1463840.625,Supplier-A,397492.75,1616099.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.3,531600.0337982179,0.49595165252685547,428905.21875,1463840.625,Supplier-C,391057.3,2388756.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.2,354400.0337982179,1.1158913373947144,490161.0,1647608.0,Supplier-A,453541.7,1821613.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.2,354400.0337982179,1.1158913373947144,490161.0,1647608.0,Supplier-C,446187.4,2691971.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.1,177200.01689910894,4.463565349578857,551416.75,1831375.25,Supplier-A,509590.72,2027123.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.1,177200.01689910894,4.463565349578857,551416.75,1831375.25,Supplier-C,501317.6,2995187.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.05,88600.00844955447,17.854263305664062,582044.625,1923258.875,Supplier-A,537615.25,2129883.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.05,88600.00844955447,17.854263305664062,582044.625,1923258.875,Supplier-C,528882.7,3146796.3
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.01,17720.000000000007,446.3565673828125,606546.9375,1996765.75,Supplier-A,560034.88,2212087.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.01,17720.000000000007,446.3565673828125,606546.9375,1996765.75,Supplier-C,550934.8,3268086.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.005,8860.000000000004,1785.42626953125,609609.6875,2005954.0,Supplier-A,562837.22,2222365.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.005,8860.000000000004,1785.42626953125,609609.6875,2005954.0,Supplier-C,553691.2,3283248.0
